itemID,description,cost,quant,sell
F105D-BQ200,Giada F105D Fanless Cel N3450 2GB,"R 2,326.00",400,"R 3,789.00"
F110D-BD000,Giada F110D Fanless Cel J1900 2xRJ45,"R 2,150.00",900,"R 3,499.00"
F202-BB200,Giada F202 Fanless Cel N2807 2GB 1xVGA|1xHDMI,"R 1,691.00",700,"R 2,749.00"
F210U-BY230,Giada F210U Fanless Atom Z8350 2GB 32GB,"R 1,534.00",850,"R 2,495.00"
F210U-BY460,Giada F210U Fanless Atom Z8350 4GB 64GB,"R 2,459.00",923,"R 3,999.00"
77R1934015A00,Giada F300/G300/I58/I39/F200/I200/I57 AC,R 208.00,421,R 299.00
F302-B3000,Giada F302 Fanless i3-6100U,"R 5,396.00",866,"R 8,789.00"
I58B-B5000,Giada I58B i5-5200U 2xDDR3L 1x RS232,"R 4,993.00",256,"R 8,130.00"
Q30W,Giada Q30W Android Cortex A9 QC 1.6GHz,"R 1,287.00",659,"R 2,099.00"
D67-N1-7100U40H0G-GIA,Giada D67 i3-7100U 2xDDR4 2133Mhz 1xRS232,"R 4,723.00",5,"R 7,695.00"
D67-N1-7200U40H0G-GIA,Giada D67 i5-7200U 2xDDR4 2133Mhz 1xRS232,"R 5,526.00",69,"R 8,995.00"
MU609,Giada Huawei Mini PCIe 3G Module,R 626.00,54845,"R 1,019.00"
AW-CB161H,Giada Wifi Bluetooth Mini PCI Module,R 183.00,59,R 249.00
